=====================================Elevator E0 =========================================
886 5 drops:P8 
886 5 stops 
860 5 picksup:P16 
862 6 goesup 
871 1 picksup:P6 
873 2 goesup 
874 3 picksup:P15 
876 2 goesdown 
876 2 drops:P15 
878 3 goesup 
873 7 picksup:P14 
875 8 goesup 
875 8 drops:P14 
875 8 stops 
875 4 drops:P3 
875 4 stops 
880 10 drops:P16 
880 10 stops 
877 5 picksup:P2 
879 6 goesup 
897 8 drops:P6 
897 8 stops 
898 11 drops:P2 
898 11 stops 
889 3 picksup:P9 
891 4 goesup 
905 7 drops:P9 
905 7 stops 
892 7 picksup:P10 
894 8 goesup 
908 11 drops:P10 
908 11 stops 
901 6 picksup:P18 
903 7 goesup 
906 9 drops:P18 
906 9 stops 
910 7 picksup:P0 
912 8 goesup 
918 9 drops:P0 
918 9 stops 
902 9 picksup:P19 
904 8 goesdown 
904 8 drops:P19 
904 8 stops 
920 9 picksup:P7 
922 8 goesdown 
922 8 drops:P7 
922 8 stops 
929 1 picksup:P11 
931 2 goesup 
924 6 picksup:P5 
926 5 goesdown 
934 3 drops:P5 
934 3 stops 
921 9 picksup:P18 
923 8 goesdown 
925 4 picksup:P3 
927 5 goesup 
935 1 picksup:P12 
937 2 goesup 
947 4 drops:P12 
947 4 stops 
924 7 picksup:P9 
926 6 goesdown 
931 4 drops:P11 
931 4 stops 
938 8 picksup:P6 
940 9 goesup 
928 5 drops:P9 
930 4 goesdown 
930 4 drops:P18 
930 4 stops 
952 8 picksup:P14 
954 7 goesdown 
946 2 picksup:P15 
948 3 goesup 
970 8 drops:P15 
970 8 stops 
947 12 drops:P3 
949 11 goesdown 
967 4 drops:P6 
967 4 stops 
955 4 drops:P14 
955 4 stops 
978 3 picksup:P5 
980 4 goesup 
990 10 picksup:P16 
992 9 goesdown 
1000 7 drops:P16 
1000 7 stops 
968 4 picksup:P11 
970 5 goesup 
1000 12 drops:P11 
1000 12 stops 
983 6 drops:P5 
983 6 stops 
982 5 picksup:P8 
984 4 goesdown 
988 3 drops:P8 
988 3 stops 
992 11 picksup:P2 
984 9 picksup:P13 
986 10 goesup 
986 10 drops:P13 
986 10 stops 
985 10 goesdown 
993 8 picksup:P19 
995 7 goesdown 
999 4 picksup:P14 
1017 11 picksup:P10 
1019 10 goesdown 
1037 3 drops:P10 
1037 3 stops 
999 5 drops:P19 
1001 4 goesdown 
1005 3 drops:P2 
1005 3 stops 
993 3 goesdown 
997 2 drops:P14 
997 2 stops 
992 4 picksup:P18 
994 5 goesup 
1004 7 drops:P18 
1004 7 stops 
Total number of floors travelled 334 
Total number of passengers picked up 55 
=====================================Elevator E1 =========================================
2 1 picksup:P6 
4 2 goesup 
5 1 picksup:P16 
6 1 picksup:P12 
18 5 drops:P6 
18 5 stops 
31 7 drops:P16 
31 7 stops 
7 1 picksup:P18 
9 2 goesup 
31 7 drops:P18 
31 7 stops 
37 1 picksup:P14 
52 12 drops:P12 
52 12 stops 
38 1 picksup:P7 
44 1 picksup:P3 
46 2 goesup 
76 9 drops:P3 
76 9 stops 
39 3 drops:P14 
39 3 stops 
54 1 picksup:P13 
47 1 picksup:P5 
49 2 goesup 
56 1 picksup:P19 
58 2 goesup 
44 1 picksup:P8 
46 2 goesup 
60 5 drops:P8 
62 6 goesup 
64 9 drops:P7 
64 9 stops 
49 1 picksup:P4 
51 2 goesup 
65 5 drops:P19 
67 6 goesup 
61 7 picksup:P16 
63 6 goesdown 
67 5 drops:P16 
67 5 stops 
67 7 drops:P5 
67 7 stops 
77 1 picksup:P11 
79 2 goesup 
66 1 picksup:P9 
68 2 goesup 
81 12 drops:P13 
81 12 stops 
101 9 drops:P11 
101 9 stops 
84 7 picksup:P18 
86 6 goesdown 
90 5 drops:P18 
